UniProt Accession	129C:127C	129C:127N	128C:127C	128C:127N
Q99PD7	-0.14	-0.032	-0.254	-0.1205
P50285	-0.198	-0.237	-0.028	-0.1185
Q9ESX4	-0.336	-0.243	-0.201	-0.0705
P70196	-0.181	-0.027	-0.202	0.0415
Q9D074-5	-0.844	-0.687	-0.807	-0.5905
A2A891	-0.048	-0.105	-0.142	-0.0665
D3YXM8	-0.325	0.143	-0.613	-0.0805
P62313	-0.399	-0.306	-0.344	-0.2185
E9PY46	-0.615	-0.777	-0.275	-0.5445
E9QAU9	-0.151	-0.293	-0.139	-0.3025
Q9JM93	-0.647	-0.458	-0.506	-0.2895
Q99LG4	0.202	0.086	0.17	0.1375
Q9JM96	-0.124	-0.012	-0.275	-0.0645
Q6RI63	0.218	-0.012	0.13	-0.0015
Q9D8M4	-0.305	-0.079	-0.379	-0.2315
Q9WVJ3	0.331	0.5	0.184	0.3515
Q3TLH4	-0.282	-0.153	-0.196	-0.0545
Q3V384	0.032	0.071	0.035	0.0845
A2A484	0.298	0.301	0.35	0.3635
E9PW37	-0.597	-0.009	-0.575	0.0245
E9QN77	-0.084	0.008	-0.147	-0.0445
P97364	-0.224	-0.119	-0.184	-0.1005
Q91ZE0	-0.092	-0.148	-0.089	-0.0725
Q9CQQ8	0.067	0.092	0.15	0.2085
Q3TW96	0.18	0.271	0.147	0.2235
Q8VE95	0.037	0.112	-0.003	0.0895
O35654	-0.035	-0.084	-0.064	-0.1125
Q80TY4	-0.075	-0.089	-0.043	-0.0455
Q8K0E8	-0.038	-0.006	0.036	0.0755
Q9Z0S6	0.077	0.326	0.093	0.3315
Q9JL04	-0.275	-0.163	-0.259	-0.1125
Q9D8C2	-0.119	-0.158	0.022	-0.0145
Q91YN8	0.086	0.087	0.081	0.0785
A6X919	-0.126	-0.21	-0.18	-0.2345
D3YZP9	0.19	0.278	0.035	0.0655
P16015	-0.062	-0.191	0.412	0.2345
Q920N2	0.126	0.051	0.122	0.0605
Q7TNV0	0.243	0.206	0.225	0.1655
Q91YJ2	-0.404	-0.178	-0.408	-0.1335
Q9CYU6	-0.07	-0.094	-0.058	-0.0835
Q9D0D3	0.009	-0.049	0.091	0.0675
Q91XF0	-0.589	-0.17	-0.621	-0.2205
B9EHT4	0.188	0.147	0.102	0.0545
P48302	-0.259	-0.231	-0.06	0.0305
P35569	-0.347	-0.225	-0.337	-0.1315
P59325	0.23	0.23	0.09	0.1465
Q3TYA6	0.12	-0.078	0.121	0.0705
Q80W93	-0.555	-0.316	-0.535	-0.3185
Q9JI75	-0.003	0.043	0.114	0.1105
Q8BM13	0.527	0.525	0.406	0.4145
O35250	0.046	0.226	0.04	0.2295
Q8BK08	-0.205	-0.216	-0.208	-0.1925
Q6PDI6	-1.198	-0.847	-1.053	-0.6105
Q9DAU1	1.041	1.072	1.056	1.0985
Q64373	0.116	0.223	0.159	0.2115
P97801	-0.476	-0.416	-0.415	-0.3425
Q9R061	0.333	0.23	0.238	0.0315
Q3TXX3	-1.057	-0.778	-1.005	-0.7275
Q3UMG6	0.017	0.061	-0.113	0.0785
Q9R0X5-5	0.164	0.031	0.172	0.0425
Q9R0M6	-0.08	-0.077	-0.03	-0.0045
P70441	0.181	0.301	-0.192	0.0435
Q8VDC1	0.166	0.25	0.095	0.1885
P17665	0.282	0.358	0.186	0.2335
Q8VDH1	0.154	0.118	0.06	0.0355
D3YYY8	-0.04	-0.204	0.019	-0.1115
P11438	-0.375	-0.139	-0.348	-0.1175
P30285	-0.08	-0.055	-0.074	-0.0315
E9PWW9	-0.098	-0.082	-0.058	-0.0145
E9Q9M0	1.198	1.25	1.035	1.0825
Q9JM14	0.022	0.07	0.032	0.1215
Q8BWG9	0.337	0.126	0.145	0.0055
Q61249	-0.651	-0.426	-0.479	-0.2435
Q3ULL6	0.06	0.06	0.162	0.1745
P56581	-0.64	-0.489	-0.455	-0.3215
Q9DAT5	-0.168	-0.159	-0.225	-0.2045
Q6PDJ1	-0.042	0.061	-0.065	0.0085
Q8VBY2	0.047	0.136	0.034	0.1355
Q99N96	-0.19	-0.133	-0.238	-0.1155
Q6KCD5	-0.4	-0.206	-0.2	-0.0225
P54797	0.232	0.112	0.117	0.0085
Q91X97	-0.077	0.218	-0.242	0.0345
Q8R3F5	-0.126	-0.102	-0.008	0.0375
Q61576	0.044	-0.17	0.031	-0.1185
Q3UHC7	0.033	0.031	-0.057	-0.1505
Q8VDI9	-0.362	-0.476	-0.352	-0.3765
O54962	-0.148	0.135	0.035	0.3085
O70439	0.417	0.272	0.365	0.2015
Q9CYV5	-0.016	-0.022	-0.089	-0.0875
Q8CBX0	0.133	0.074	0.014	0.0855
Q99M28	-0.334	-0.338	-0.449	-0.3925
Q9CQJ1	0.207	0.314	0.191	0.3155
Q99MP8	0.217	0.133	0.03	0.0095
Q80ZJ6	0.124	0.083	0.064	0.0255
Q9JIH2	0.048	0.129	0.16	0.2525
Q3TD49	0.478	0.251	0.335	0.1005
Q8BMS9	-0.121	-0.118	0.023	0.0215
Q9CQ06	-0.208	-0.102	-0.162	-0.0175
Q8R0F5	-2.095	-1.8	-1.454	-1.2315
Q6R891	-0.498	-0.315	-0.526	-0.2795
Q9Z148	0.347	0.127	0.107	0.0125
Q99L48	0.241	0.101	0.228	0.1135
P98192	-0.149	-0.171	-0.081	-0.0865
V9GXK0	0.865	0.865	0.735	0.7625
Q9CQ79	0.234	0.118	0.344	0.1925
D3Z2R5	-0.722	-0.623	-0.664	-0.4505
Q922R1	-0.038	-0.055	-0.047	-0.1015
P63030	-0.348	-0.228	-0.313	-0.1975
Q9D7B1	-0.072	-0.041	0.047	0.0285
P50586	-0.197	-0.359	-0.264	-0.3635
Q8BG75	0.051	0.022	0	0.0025
G3X9	-0.114	-0.095	0.044	0.1105
Q6SKR2	0.404	0.383	0.36	0.3255
Q5SQ20	-0.128	-0.208	0.016	-0.0585
Q9D554	0.135	0.317	0.001	0.2795
Q99KK1	-0.057	-0.111	0.011	-0.1055
P63040	0.193	0.226	0.183	0.1745
O35901	0.065	0.076	0.011	-0.0095
Q9WVG9-2	-0.158	-0.078	-0.069	0.0895
P61957	-0.079	0.046	-0.015	0.1515
Q8VDN4	0.16	0.156	0.134	0.1415
Q9EQQ2	-0.735	-0.418	-0.506	-0.2775
Q7TT15	0.241	0.222	0.263	0.1885
Q62414	-0.252	-0.052	-0.257	-0.0445
D3YU50	0.025	-0.088	-0.014	-0.1275
Q9ESS0	0.343	0.204	0.134	-0.0515
Q8BI06	0.202	0.053	0.05	-0.0255
Q9R078	0.029	-0.033	0.094	0.1025
P07742	0.185	-0.007	0.11	-0.0245
Q80UU9	0.289	0.218	0.234	0.1825
Q9CXA2	-0.289	-0.216	-0.285	-0.2145
A2ABV5	-0.14	-0.104	-0.016	0.0015
Q8R2Z5	0.029	0.078	0.033	0.0645
Q8VCB2-3	0.137	0.028	0.143	0.1065
Q3V0J1-3	-0.71	-0.452	-0.755	-0.3555
Q9DCZ4-3	0.077	0.21	0.03	0.1185
A2AKB4	-0.757	-0.485	-0.652	-0.3685
Q8R1C0	-0.058	-0.064	-0.17	-0.1075
Q80YE4-3	0.227	0.167	0.145	0.0955
Q9QZC2	0.384	0.32	0.299	0.2545
Q571J5	0.691	0.736	0.672	0.7285
A3KFX0	0.271	-0.021	0.194	-0.1345
Q5NCE8	-0.295	-0.097	-0.396	-0.2305
Q68FE8	-0.21	-0.156	-0.209	-0.1425
Q9DAM5	0.026	-0.073	0.047	-0.0825
Q91ZR2	0.18	0.285	0.189	0.2835
Q8BXJ9	-0.194	-0.194	-0.113	-0.1025
Q8BL48	0.169	0.221	0.079	0.1205
A0A140LIJ1	-0.835	-0.612	-0.673	-0.4775
Q8R189	-0.513	-0.447	-0.475	-0.3905
Q8CD26	-0.109	-0.095	-0.196	-0.1645
Q8VE88	0.637	0.455	0.392	0.2635
Q9D1J1	-0.188	-0.031	-0.262	-0.0895
Q9Z2L6	0.362	0.332	0.275	0.2425
Q8C6E0	0.005	0.012	0.108	0.1265
Q8CCP0	0.155	0.123	0.123	0.2295
Q8CHE4	-0.431	-0.196	-0.374	-0.1275
Q8K1S1	0.199	-0.033	0.085	-0.1355
Q8BHB9	0.329	0.581	0.082	0.3635
Q8BGG6	-0.101	0.093	-0.009	0.0175
Q8BI08	0.241	0.164	0.092	0.0575
Q9QZH3	1.585	0.825	1.326	0.7115
E9Q8Z8	-0.06	0.078	0.005	0.1025
Q9JJK5	-0.272	-0.13	-0.273	-0.1245
Q8CGA3	0.061	0.056	-0.05	-0.0145
E9PZW8	0.064	-0.19	0.09	-0.2185
Q8BQQ1	-0.166	-0.162	-0.072	-0.1725
Q921Q3	0.232	0.096	0.033	-0.0845
A3KGJ7	0.246	0.402	0.07	0.2385
Q64310	-0.092	-0.124	-0.173	-0.1655
O35710	-0.38	-0.425	-0.251	-0.2845
Q99PI8	1.453	1.404	1.175	1.1305
P47226	-1.181	-0.911	-0.922	-0.5755
Q9ERC8	0.109	0.023	0.085	-0.2405
Q9EPB5	0.258	0.098	0.029	-0.1195
Q00422	0.318	0.27	0.374	0.3025
Q69ZT1	0.697	1.072	0.443	0.8855
Q8K2V6-2	0.15	-0.004	0.191	0.0645
Q3UER8	-0.03	0.049	0.061	0.0125
A0A0G2JDL2	-0.087	-0.087	0.032	-0.0445
Q569Z6	0.106	0.157	-0.003	0.0595
Q8BUB4	-0.2	-0.197	-0.283	-0.2685
Q8BPE4	-0.26	-0.284	-0.241	-0.1825
Q8R2N2	0.007	-0.126	0.078	0.0375
Q8K245	0.081	0.266	0.243	0.4395
Q7TSG2	-0.122	-0.131	-0.142	-0.1395
P35347	0.267	0.263	0.248	0.2475
Q8JZR0	0.207	-0.005	0.117	-0.1575
Q8VD66	-0.058	-0.106	-0.122	-0.0895
Q02013	0.354	0.264	0.146	0.0645
Q60596	-1.385	-0.992	-1.119	-0.7625
Q9CQM0	0.302	0.118	-0.053	-0.1315
A2AG30	-0.166	-0.08	0.043	-0.1325
Q8K2I4	0.385	0.382	0.289	0.2965
Q64362	0.132	0.031	-0.02	-0.1095
E9QAE4	0.203	0.318	0.205	0.2855
A2ANY6	-0.129	-0.01	-0.174	-0.0595
Q80Z60-2	0.643	0.493	0.383	0.2445
Q8R373	1.013	0.859	0.873	0.7635
Q61090	-0.201	-0.113	-0.209	-0.1095
Q6P1B3	1.888	1.977	1.571	1.7465
P47811	-0.182	-0.274	-0.176	-0.2955
O35393	0.247	0.38	0.139	0.2305
O88653	0.617	0.511	0.621	0.5265
P97313	-0.29	-0.218	-0.354	-0.2595
P61804	0.196	0.062	0.152	0.0245
Q9JJD0	0.094	0.14	0.246	0.1905
Q61070	-0.117	-0.254	-0.07	-0.1075
Q3TTA7	0.071	0.049	0.203	0.1925
Q80VP9	0.219	0.08	0.188	0.1405
P41274	0.622	0.383	0.486	0.2665
B1ASU9	-0.32	-0.284	-0.216	-0.2505
P63250	0.022	0.012	0.012	-0.0285
O88572	-0.219	-0.227	-0.041	-0.0385
A2AJ88	-0.046	0.022	-0.125	-0.0575
Q9R020	-0.759	-0.432	-0.712	-0.3745
Q9R0B6	-0.161	-0.05	-0.073	0.0865
Q8VDG5	0.232	0.14	0.198	0.1105
Q3TA38	0.673	0.535	0.598	0.4945
G5E889	0.213	0.16	0.141	0.0735
Q8K3M5	-0.069	0.051	0	0.1315
Q9JI11	0.014	0.025	0.104	0.0895
E9Q3A7	0.693	0.861	0.547	0.5445
Q07235	0.26	0.215	0.133	0.0995
Q9CWX9	0.153	0.044	0.167	0.0725
A0A286YDX7	-0.323	-0.373	-0.345	-0.4225
Q5SPX8	-0.2	-0.047	-0.111	0.0445
Q3TYS2	0.395	0.215	0.302	0.1275
Q8QZX0	-0.508	-0.365	-0.415	-0.2525
Q8BSK8	-0.188	-0.236	-0.189	-0.2255
Q8CCJ3	0.032	-0.022	0.089	0.0465
Q8BNE1	-0.073	-0.097	-0.003	-0.1375
A2AGH6	0.119	0.209	0.129	0.2275
Q7TQA1	0.269	0.344	0.138	0.2495
Q5MPP0	-0.185	-0.036	-0.264	-0.2185
Q9D853	0.099	0.272	0.17	0.3415
E9QLG3	0.113	0.183	0.165	0.3065
P07903	-0.092	-0.027	0.043	0.0925
Q8BGF0	-0.118	-0.174	-0.097	-0.1765
Q91ZV0	0.266	0.431	0.451	0.7145
B0QZN5	0.401	0.255	0.266	0.2135
Q571K4	-0.168	-0.33	-0.186	-0.3355
Q68FE7	-0.145	-0.056	-0.14	-0.0075
Q9CWE0	0.155	0.121	-0.005	-0.1065
Q6PIU9	0.223	0.197	0.117	0.1185
Q61211-2	0.131	-0.015	-0.018	-0.1695
P48024	0.33	0.166	0.281	0.1655
G5E8I8	0.185	0.232	0.134	0.2415
P63002-2	0.074	0.083	0.125	0.1155
Q9WUR9	0.06	0.192	-0.015	0.1735
O35495	-0.08	-0.055	-0.169	-0.0555
P81122	-0.238	-0.228	-0.158	-0.0845
Q5U4C3	-0.61	-0.225	-0.513	-0.1985
Q8BYI8	0.146	0.255	0.155	0.2735
Q9JJ80	-0.24	-0.323	-0.167	-0.2765
A2ARZ3	-0.113	0.007	0.067	0.1965
Q8BVA5	-0.136	-0.163	0.018	0.0105
O88829	0.058	0.064	0.091	0.1095
Q8C102	-0.626	-0.543	-0.65	-0.5565
Q8R3N6	-0.147	0.048	-0.048	0.1585
Q61183	0.144	0.012	0.192	0.0405
Q8VI59	0.538	0.637	0.548	0.6255
Q9DB75	0.25	0.188	0.182	0.1675
Q9EQC5	-0.033	-0.129	0.051	-0.0345
Q9D4F2	0.057	0.045	-0.016	0.0155
Q8VDP6	-0.166	-0.269	-0.518	-0.4125
D3Z4P2	0.336	0.153	0.192	0.0565
Q9JM62	0.216	0.123	0.157	0.0855
E9QJY0	0.044	0.02	0.088	0.0175
A0A0G2JGH0	0.662	0.604	0.716	0.6695
A2AQJ6	-0.163	0.06	-0.191	0.0405
Q00899	0.346	0.251	0.031	-0.0515
P70451	0.132	0.127	-0.249	-0.1255
P03921	-0.054	-0.322	-0.301	-0.5565
Q5DTU0-2	0.167	0.126	0.242	0.1255
Q53Z09	0.204	-0.035	0.246	-0.0165
Q99J31	-0.22	-0.072	-0.115	-0.0395
Q91YN0	0.247	0.024	0.198	-0.0135
E9Q5F9	-0.293	-0.12	-0.282	-0.0195
P56379	-0.057	-0.067	-0.072	-0.0575
P07214	0.554	0.656	0.507	0.5645
B7ZDF5	0.223	0.078	0.187	0.1215
Q3UVG3	-0.123	-0.08	-0.069	-0.0145
Q9WVL1	0.076	-0.02	0.074	0.0105
Q04519	-0.98	-0.684	-0.751	-0.5435
Q8BFU3	-0.576	-0.344	-0.639	-0.2395
Q8K449	0.399	0.135	0.229	0.0995
Q9QWW1	-0.233	-0.072	-0.169	0.0035
Q8BH74	-0.102	-0.087	-0.035	-0.0085
Q3TAQ9	-0.117	-0.24	-0.05	-0.1615
Q9DB43	0.04	0.055	0	0.0265
Q99KG3	0.354	0.379	0.236	0.2885
Q9CRB2	-0.288	-0.154	-0.252	-0.1445
Q8BGR6	0.138	0.184	0.207	0.2305
P62069	-0.03	-0.13	-0.115	-0.0295
Q8CGM1	-0.372	-0.293	-0.142	-0.1085
Q62210	0.155	0.106	0.11	0.0485
Q9DCE5	0.297	0.179	0.07	-0.0365
E9QN31	-0.169	-0.047	-0.12	-0.0135
Q3V0A7	0.159	-0.053	0.139	0.0085
Q8K0P3	-0.023	-0.007	-0.02	-0.0335
A0A1D5RLM8	-0.038	0.098	0.073	0.2935
Q7TPM9	0.127	0.158	-0.034	0.0095
P58069	-0.05	-0.072	-0.025	-0.0595
Q5BL07	0.123	0.097	0.214	0.1535
Q9QXY9	0.217	0.091	0.157	0.0435
Q3TGW2	0.233	0.165	0.208	0.1765
Q01149	0.262	-0.773	1.005	0.2225
Q62446	0.103	0.235	0.04	0.1935
O88455	-0.745	-0.691	-0.557	-0.5235
Q8R079	-0.149	-0.218	-0.106	-0.2035
G5E897	0.375	0.342	0.363	0.3275
Q9ES74	0.003	-0.048	-0.026	-0.0655
Q9D6L8	0.095	0.019	0.125	0.1515
A2APM2	1.27	1.437	1.122	1.1745
Q3UH45	-0.73	-0.563	-0.593	-0.4145
Q91YK0-2	-0.324	-0.268	-0.41	-0.3425
Q9CYR0	0.046	0.038	0.075	0.0785
Q8CFV9	-0.116	-0.074	-0.028	-0.0075
P55065	0.426	0.267	0.31	0.1065
O35604	0.467	0.499	0.214	0.2875
Q8C033	0.295	0.209	0.201	0.1735
Q6PD26	0.665	0.438	0.635	0.4195
O35683	-0.076	-0.004	-0.056	0.0625
Q8BXV2	-0.459	-0.158	-0.513	-0.3595
Q9CQL5	0.038	0.059	-0.044	-0.0125
Q3UHI4	0.143	0.047	0.162	0.1175
Q5Y5T2	-0.42	-0.318	-0.299	-0.0855
Q8BUW1	-0.547	-0.517	-0.469	-0.3535
Q80ZV0	0.04	-0.096	0.113	0.0285
Q5RJH6-2	-0.4	-0.185	-0.14	-0.0195
Q8QZV7	-0.142	-0.058	-0.117	-0.0325
P16045	0.49	0.348	0.47	0.3345
Q9EP72	0.211	0.332	0.348	0.4485
A6H5Y3	-0.201	-0.294	-0.087	-0.1685
E9PZ91	0.191	0.053	0.108	-0.0675
Q80YR4	-0.451	-0.287	-0.436	-0.2255
Q3U8K7	-0.076	0.041	-0.118	0.0285
E9QA45	-0.27	-0.295	-0.084	0.0105
Q61738	-0.291	-0.137	-0.222	-0.0555
Q3TFD2	0.087	-0.041	0.093	-0.0105
E9Q512	-0.432	-0.14	-0.413	-0.1095
Q62219-3	0.382	0.204	0.14	-0.0265
Q9JJF3	0.832	0.518	0.262	0.2405
Q9D952	-0.107	-0.209	-0.063	-0.1695
Q3UHF7	-0.983	-1.173	-0.903	-1.0995
Q8CB77	0.105	0.092	-0.18	-0.0445
P37172	0.263	0.154	0.225	0.1415
Q99N94	0.284	0.104	0.076	-0.0475
Q5I012	-1.035	-1.164	-1.109	-1.2265
O35459	0.221	0.161	0.212	0.1955
Q922B1	0.006	-0.053	0.022	-0.0255
Q8R4D1	0.303	0.047	0.227	0.0655
Q8R3D1	0.128	0.115	0.115	0.1135
Q9D3X9	0.882	0.977	0.707	0.8135
Q3U213	0.129	-0.002	-0.007	-0.0125
P54818	0.224	0.23	0.367	0.3845
E9QJX9	0.8	0.436	0.499	0.2025
Q9WVD5	0.605	0.197	0.394	-0.0025
Q8VCS3	0.444	0.287	0.408	0.2925
O70421	-0.167	0.04	-0.149	0.1075
A2A9C3	0.026	-0.039	-0.082	-0.1585
Q8BGX3	0.82	0.842	0.611	0.6265
Q9WTZ1	0.258	0.127	0.103	-0.0045
B1AVZ0	0.198	0.118	0.085	0.0155
E9Q4N7	-0.304	-0.086	-0.293	-0.0645
Q6NZQ4	0.285	0.097	0.267	0.0905
Q8BLN6	-0.01	0.104	0.126	0.1585
O08648	0.336	0.008	0.299	-0.0175
Q91UZ5	0.444	0.325	0.136	0.1025
Q9DBZ5	0.349	0.218	0.241	0.1215
Q8BJ37	-0.675	-0.615	-0.498	-0.4235
Q9CYW4	0.14	0.103	0.06	0.0405
A0A087WQH8	-0.245	-0.054	-0.136	0.0835
O08583	-0.086	0.024	0.064	0.2175
Q8CGU1	-0.257	-0.209	-0.166	-0.0735
P52432	0.285	0.093	0.186	-0.0205
Q6PD03	-0.583	-0.269	-0.63	-0.2225
I3ITR1	-0.097	0.028	-0.094	0.0785
Q76N33	-0.006	-0.136	0.055	-0.0645
Q5DU09	-0.769	-0.604	-0.709	-0.5335
Q62433	-0.091	0.179	-0.174	0.0745
G3UY42	0.12	0.02	0.042	-0.0415
Q60771	0.564	0.716	0.267	0.4555
Q8QZT2	-1.264	-0.922	-1.241	-0.8885
Q9CY97	0.274	0.253	0.3	0.2895
P63166	-0.088	0.023	-0.008	0.0875
Q0KK56	-0.178	0.133	-0.194	-0.0165
Q6P9R4	0.044	0.021	0.128	0.0705
Q9D7J4	0.261	0.178	0.142	0.0205
A2ARP1	0.211	0.173	0.069	0.1465
P61148	0.152	0.239	0.023	0.1385
Q6PDM1	-0.29	-0.202	-0.162	-0.0615
Q8VE73	-0.071	0.308	0.116	0.3985
O35245	-0.259	-0.438	-0.162	-0.1585
Q8CFT2	0.125	0.351	-0.012	0.2255
Q9D0A3	-0.274	-0.022	-0.27	0.0425
Q91X96	0.285	0.215	0.227	0.1525
Q8CJ70	-0.244	-0.032	-0.376	-0.2195
G5E8Z2	0.784	1.02	0.641	0.8585
E9PWW6	-0.029	-0.11	0.024	-0.0705
Q7TSC1	0.206	0.196	0.114	0.1845
A2AR50	-0.087	-0.095	-0.116	-0.1135
Q6DFV5-3	-0.439	-0.202	-0.516	-0.2725
Q4FK66	-0.007	-0.079	0.023	-0.0375
Q9DCF9	0.162	0.052	0.024	-0.0475
Q9QZI8	-0.551	-0.331	-0.795	-0.4385
O89096	-0.198	-0.096	-0.242	-0.1535
Q8BR90	0.296	0.181	0.294	0.1905
D3YTR0	-1.035	-1.164	-1.109	-1.2265
Q9DCU2	-0.187	-0.153	-0.283	-0.2905
Q3V038	-0.305	-0.021	-0.316	-0.0235
O54839	0.187	0.073	0.154	0.1025
Q922G0	-0.44	-0.294	-0.279	-0.1215
P56389	-0.122	0.072	-0.236	-0.0305
Q9CQZ0	-0.09	0.085	0.095	0.3505
E9PXU2	0.511	0.439	0.406	0.5145
Q8K2L8	0.301	0.141	0.216	0.0335
Q78JW9	-0.096	-0.045	-0.1	0.0675
Q8R3I2	0.305	0.125	0.219	0.0515
P59240	0.134	0.035	0.082	-0.0055
Q9CR60	0.246	0.022	0.063	-0.0715
Q8BGV0	0.276	0.292	0.202	0.2685
F8WJA0	-0.024	0.074	0.123	0.2305
Q8K2X3	-0.238	-0.038	-0.191	0.0195
O70166	-0.585	-0.323	-0.48	-0.2065
Q9EQ28	0.024	-0.03	-0.113	-0.1555
G3X973	0.01	-0.267	0.062	-0.1895
E9Q247	0.292	0.181	0.276	0.1895
Q9D115	0.193	-0.041	0.064	-0.0565
Q62193	0.077	0.14	0.074	0.1265
Q9D4J1	0.199	0.339	0.231	0.3825
O88533	-0.123	-0.11	-0.134	-0.1095
P26618	-0.051	-0.012	-0.151	-0.1575
Q9ES56	-0.049	-0.063	-0.118	-0.1735
Q80TA9	0.05	0.021	-0.072	-0.1005
Q8K1N4	-0.323	-0.335	-0.197	-0.2415
Q99LH2	-1.086	-0.873	-0.842	-0.6705
Q6ZWQ9	0.186	0.15	0.139	0.1385
A6H690	-0.304	-0.292	-0.175	-0.2635
Q9QZN4	0.063	-0.031	0.038	-0.0275
Q6VN19	-0.482	-0.347	-0.449	-0.2955
Q9D0I6	0.343	0.135	0.275	0.0935
Q8BGR2	-0.161	-0.127	-0.122	-0.0765
Q9D1Q4	-0.041	-0.072	-0.188	-0.1605
Q9JJQ0	0.323	0.397	0.099	0.2305
Q80TH2-2	0.128	0.211	-0.204	-0.0315
Q8VEF1	0.003	-0.053	0.066	0.0295
Q80UG1	0.341	0.122	0.226	0.0305
Q8CFE2	-0.474	-0.502	-0.437	-0.4835
Q6GV12	-0.156	-0.175	0.001	-0.0435
Q9Z0Z4	-0.998	-0.632	-0.924	-0.5925
P13405	-0.268	-0.368	-0.158	-0.2465
Q5Y5T1	0.053	0.1	0.097	0.1555
D3Z0P8	-0.306	-0.145	-0.225	-0.0525
O35657	0.11	0.087	0.069	0.1035
Q9ES34	-0.142	-0.114	-0.16	-0.1735
B2RUS7	-1.005	-0.602	-0.873	-0.4585
Q91WC9	-0.346	-0.239	-0.183	-0.0685
O09159	-0.299	-0.143	-0.284	-0.1165
Q8R059	0.205	0.094	0.114	0.0365
Q80X50-5	-0.066	0.115	-0.142	0.1435
Q01237	0.081	-0.091	0.061	-0.1145
Q6ZQL4	-0.156	-0.19	-0.053	-0.0645
Q6IQX8	-0.097	-0.38	-0.144	-0.3705
O70591	0.348	0.328	0.22	0.2115
H3BKF3	-0.201	-0.062	-0.203	0.1525
Q80UU1	0.105	-0.053	0.163	0.0155
Q5DU02	1.161	1.248	0.946	1.0245
Q91VK1	0.275	0.315	0.261	0.2555
Q8K194-2	-0.342	-0.357	-0.255	-0.2575
P24668	0.57	0.623	0.447	0.4965
P50543	0.364	0.26	0.245	0.1535
Q9CQ89	0.596	0.609	0.351	0.3475
O54784	0.492	0.647	0.326	0.5785
Q505D1	-0.462	-0.363	-0.301	-0.1325
Q9CZN8	0.234	-0.141	0.311	-0.0345
Q9D8V0-4	-0.233	-0.327	-0.299	-0.3465
Q9DAM7	-0.357	-0.048	-0.423	-0.1025
Q8R123-2	-0.068	0.013	-0.209	0.1185
Q9CQV7	-0.101	-0.038	-0.279	-0.0365
Q3TLP5	0.033	0.202	-0.039	0.1495
Q99L85	0.206	0.21	0.296	0.3115
B1B1A8	-0.195	-0.281	-0.185	-0.3005
Q9CY57	-0.766	-0.558	-0.574	-0.4045
Q3UTR7	-0.858	-0.544	-0.343	-0.0185
Q5XKN4	0.301	0.346	0.173	0.1485
Q9CRA8	0.245	0.129	0.175	0.1265
Q8CCM6-2	0.127	0.125	0.043	0.0525
Q3V4B5	0.382	0.298	0.06	0.1045
Q8BK75	-0.828	-0.696	-0.687	-0.5445
Q8R066	0.046	0.133	0.024	0.0835
O70209	-0.017	-0.021	-0.198	-0.1025
Q6P1H6	-0.327	-0.151	-0.257	-0.1205
Q80V42	0.226	0.073	0.102	-0.0255
Q811J3	-0.474	-0.53	-0.501	-0.5205
O08573	-0.052	0.142	-0.038	0.1085
Q923A8	-0.683	-0.498	-0.443	-0.2495
Q80XU8	0.829	0.847	0.62	0.6495
Q9CYP7	-0.177	-0.257	-0.232	-0.3005
Q9DBX6	0.061	-0.068	-0.006	-0.1435
Q99MX0	-0.307	-0.336	-0.257	-0.2295
Q9D3N8	0.158	-0.004	0.109	-0.0415
Q8BTT6	-0.114	-0.125	-0.108	-0.0305
Q3UMF0-2	-0.363	-0.393	-0.802	-0.3615
P22437	0.257	0.075	0.133	-0.0365
Q8VEL2	0.183	0.033	0.093	-0.0215
Q8C3W1	-0.216	-0.079	-0.328	-0.1295
Q6P3D0	-0.077	0.134	-0.027	0.1185
Q9QZ08	0.326	0.142	0.146	-0.0295
Q3UPH7	0.094	0.091	0.114	0.1685
Q9WTX5	0.055	0.199	-0.103	0.0375
Q8C7H1	-0.354	-0.036	-0.381	-0.0665
Q3TZX8	-0.896	-0.823	-0.77	-0.6865
P0DP28	0.705	0.743	0.484	0.3575
B7ZC71	0.106	0.059	0.088	0.0565
O08738	0.197	0.003	0.112	-0.0945
E9QNR6	0.19	0.228	0.179	0.2335
Q8VBV3	-0.286	-0.595	-0.311	-0.4565
A0A0A0MQD7	-0.167	0.003	-0.12	0.0615
Q80TA6	-0.067	-0.089	0.036	-0.0295
Q6PFE7-2	1.514	1.602	1.364	1.3915
D3Z3A8	0.366	0.007	0.187	-0.0985
Q80YV2	-0.35	-0.304	-0.322	-0.2645
Q9DCG9	0.27	0.134	0.112	-0.0125
Q8BHI7	0.183	0.007	0.136	-0.0265
Q8C142	0.177	0.091	0.1	0.1495
Q9D9E0	0.079	-0.076	-0.104	-0.1405
Q61626	0.353	0.792	0.153	0.6505
Q80TE0	0.092	0.112	0.156	0.1105
Q5XJY4	1.181	1.084	1.113	1.0825
Q8C1Z7	-0.63	-0.524	-0.57	-0.3935
Q3UVU3	-0.041	0.139	-0.152	0.0705
Q8CAH8	0.565	0.7	0.581	0.5275
O70354	0.55	0.46	0.4	0.3215
O70230	-0.108	-0.094	-0.072	-0.0165
Q8CCJ9-2	-0.301	-0.576	-0.354	-0.5085
Q8VE38	-0.006	-0.15	-0.065	-0.0945
Q8K2I9	0.209	-0.18	0.155	-0.2225
Q8C4J7	0.208	0.092	-0.003	-0.1075
