UniProt Accession	129C:127C	129C:127N	128C:127C	128C:127N
Q56A08	-0.144	-0.107	-0.114	-0.0465
Q9WTQ5	0.333	0.417	0.272	0.4245
E9PV86	0.04	-0.099	0.082	-0.1365
Q8JZS0	0.131	0.299	-0.041	0.1565
Q8C7D2	0.14	0.08	0.067	0.0465
Q9CQZ5	-0.456	-0.214	-0.351	-0.1515
P61079	-0.115	-0.164	-0.077	-0.2175
Q6ZWZ4	-0.095	-0.071	-0.066	-0.0275
P34884	0.396	0.273	0.179	0.1015
Q91Z50	-0.264	-0.069	-0.444	-0.2445
Q8BZA9	0.169	0.133	0.097	0.1195
O70423	0.181	0.038	0.028	0.0035
P0DP60	0.356	0.497	0.386	0.4815
Q61146	0.841	0.781	0.716	0.6315
A0A286YD40	0.204	0.158	0.414	0.3005
Q8BY02	-0.29	-0.173	-0.227	-0.1605
G3UVU2	-0.589	-0.418	-0.433	-0.2385
Q6NZM9	0.284	0.298	0.168	0.0505
A2AKW0	-0.269	-0.327	-0.298	-0.3475
Q64213	0.059	-0.059	-0.003	-0.0625
Q8K2C6	-0.992	-0.743	-0.8	-0.5235
Q9DCS2	-0.088	0.1	-0.08	0.0445
P62878	-0.142	-0.128	-0.271	-0.1755
Q61235	-0.316	-0.259	-0.289	-0.2005
Q8BGF7	0.032	0.029	0.106	0.0385
O88441	0.348	0.251	0.175	0.1435
Q61735-2	0.814	0.826	0.614	0.6545
Q8R4U7	-0.156	-0.015	-0.158	-0.0105
Q148V7	0.151	0.178	0.044	0.1155
Q562G0	0.203	0.202	0.18	0.1015
Q8C0T5	-0.514	-0.508	-0.396	-0.3375
P47955	0.537	0.513	0.395	0.3505
F8VPP8	-0.741	-0.502	-0.564	-0.3215
Q99LL5	-0.363	-0.272	-0.304	-0.0665
Q8BRH0	0.141	-0.06	0.162	0.0435
E9Q5M4	-0.342	-0.237	-0.26	-0.1295
Q8BR65	0.011	-0.062	0.034	-0.0005
Q6A068	-0.781	-0.386	-0.522	-0.2585
Q8R4C2	-0.198	-0.111	-0.157	-0.0705
Q91VN4	-0.024	0.076	-0.118	-0.0785
Q91YL3	0.043	0.022	-0.026	-0.1355
Q3TL44	-0.263	-0.228	-0.303	-0.1785
Q8BVL3	0.157	0.043	0.042	-0.0805
Q9D3A9	1.025	1.08	0.642	0.6615
Q9DD18	-0.166	-0.153	-0.164	-0.1265
Q8BL63	0.079	-0.07	0.005	-0.1215
Q61142	0.095	0.018	0.127	0.0605
Q8BIV3	0.124	0.063	0.076	0.1045
Q9JK23	-0.449	-0.348	-0.461	-0.2895
P62488	0.202	0.111	0.186	0.0595
Q3U2I3-2	-0.32	-0.338	-0.427	-0.2535
Q8BWU5	-0.007	-0.033	-0.03	-0.0085
Q8CI03-2	-0.613	-0.397	-0.701	-0.4475
Q8K2I1	-0.159	-0.135	-0.055	-0.0045
B1AUF1	-0.382	-0.223	-0.384	-0.1735
Q80YD1	-0.014	-0.043	-0.073	-0.0675
Q5SSW2	-0.208	-0.248	-0.146	-0.1255
P97452	-0.09	-0.007	-0.024	0.0435
Q6NTA4	-0.318	-0.386	-0.403	-0.4595
P23591	-0.036	-0.02	0.045	0.0635
Q3TPE9	0.174	0.206	0.262	0.2595
Q8R2Q4	-0.033	-0.049	0.043	-0.0315
Q9CY46	0.206	0.132	0.06	0.0425
G3XA48	0.299	0.281	0.292	0.2475
Q8K4Q7	-0.605	-0.533	-0.448	-0.4305
P27641	0.26	0.193	0.25	0.2365
P49717	-0.023	-0.292	0.137	-0.1135
Q9WTQ8	-0.029	-0.141	-0.013	-0.0895
A6H630	0.092	0.045	0.085	-0.1025
A6H8H2-2	-0.029	-0.16	0.012	-0.2485
O09005	0.076	-0.063	0.069	-0.0485
Q9CQE8	0.331	0.35	0.21	0.1665
Q9CR09	-0.033	0.062	0.021	0.1365
Q8BUR4	-0.085	-0.11	0.019	-0.0695
E9PYH6	-0.362	-0.175	-0.259	-0.0785
O89029	0.381	0.355	0.317	0.2095
Q8VCJ6	-0.4	-0.219	-0.407	-0.1735
Q9DB50	0.068	0.003	0.021	-0.0205
F8VQD7	0.57	0.487	0.427	0.3615
Q9DC29	0.362	0.37	0.271	0.1605
D3YZI9	-0.238	-0.158	-0.118	-0.0675
Q9EP97	-0.354	-0.238	-0.256	-0.1115
Q9D0J4	-0.076	-0.152	-0.065	-0.1805
Q91WU5	0.088	0.225	-0.004	0.1835
Q9DBN5	0.103	0.037	0.11	0.0725
P62307	-0.119	-0.199	-0.162	-0.1625
B7ZCR6	-0.269	-0.231	-0.331	-0.2565
Q6DFW0	0.217	0.146	0.121	0.0375
O35405	0.301	0.277	0.176	0.2165
Q61164	-0.136	0.033	-0.187	0.0425
P51807	0.199	0.22	0.284	0.2335
Q3KNM2	-0.037	0.03	-0.034	-0.0245
Q8BLV3	0.242	0.122	0.085	-0.0095
Q3UDP0	-0.096	-0.24	-0.13	-0.2365
O35704	-0.266	-0.165	-0.093	-0.1795
